Model,R2,RMSE,MAE
Linear Regression,0.8074438347503243,359.07676366246346,322.27205798499045
Random Forest,0.9481512229712582,186.32788167065135,166.3303776578401
XGBoost,0.9336858037546484,210.7229527244824,178.420263671875
