N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Total_Input,Predicted_Yield_kg_ha
2.946544551748959,11.068847376673311,15.70054767086621,29.715939599288482,3239.409333333336
1.8707030763513103e-09,0.030000001455908854,0.01000009232194001,0.04000009564855194,1061.490733333334
2.958318363351548,11.148591885312731,13.416224502104214,27.52313475076849,3183.8454333333343
2.9465918369751503,11.067827134575449,10.799085625902157,24.813504597452756,3182.368100000001
0.0050146929240493625,0.03000000124649859,1.5982329309513446,1.6332476251218926,1836.7380055555536
9.538405649405336e-10,0.03000000092864806,1.455681906868753,1.4856819087512416,1729.9030888888874
0.1379506387266227,0.4107261226523287,0.8960667942833501,1.4447435556623014,1589.519627007143
2.947097074833336,0.030000260325104788,10.786039710889488,13.763137046047929,2997.8824666666665
2.9471378299261857,2.3727563095561957,10.400547668150134,15.720441807632515,3011.293133333333
8.036197437931617e-06,0.030000004814403753,1.620214669346382,1.6502227103582237,2002.1187499999987
1.72875413124609,0.030225488433670834,3.823361109261289,5.58234072894105,2471.5354654761895
2.9468324160941033,4.690838226886889,10.795940701886108,18.433611344867103,3040.1107
2.94515996087413,2.3768468505294704,14.623793368231352,19.94580017963495,3046.8838000000014
8.277908971715774e-09,0.030000000861666588,1.7371895198704594,1.767189529010035,2178.631416666666
0.005015180968988243,0.03000335014177718,0.010034841332637023,0.04505337244340245,1141.254166666667
0.6411751177518344,0.03000118242092817,3.823361109261289,4.494537409434052,2470.8345154761905
2.953254400949106,10.391092636432463,10.410691836521512,23.755038873903082,3121.7716000000005
0.0050218506158764085,0.030003347124066278,1.725298314132881,1.7603235118728238,2074.5679166666655
0.01588442789636714,0.0700716018036686,0.0153135067203836,0.10126953642041935,1177.5488333333344
0.6072807321532728,0.040242507830716256,2.2887118431509554,2.9362350831349446,2355.1722083333325
0.005857664647775542,0.0300049869032354,0.16612769913642822,0.20199035068743915,1237.9615117715618
0.0005274331478803012,0.030024585380674443,9.580364025539838,9.610916044068393,2681.6347999999994
6.126843791409738e-05,0.030000000519445524,6.130647040827763,6.1607083097851225,2505.503866666668
2.946779135885543,9.296166763744388,10.795940701886108,23.03888660151604,3109.7680999999993
0.28970602783937727,0.13266245716228664,2.182101328339767,2.604469813341431,2322.7668749999993
0.0009779386635780272,3.5873745610615457,3.2466939785185738,6.835046478243697,2547.437347619047
4.856304551514619e-08,0.03000000771392064,10.210335385572296,10.240335441849263,2749.5461999999975
1.7851148432305064,0.030000989414879133,9.575447305154903,11.390563137800289,2812.045366666664
1.7585015400625452,0.030018557789442516,10.210901863692499,11.999421961544487,2877.0929333333315
0.635073303682761,4.746273243884655,3.8476746804848343,9.22902122805225,2657.5572142857145
1.4577372199772176e-07,0.030000000099233915,1.9102244902890217,1.9402246361619777,2243.441633333334
0.0006471495407341451,3.665234195760057,3.471533519249115,7.137414864549906,2584.812680952381
2.953288527967895,3.245277948821028,14.639859448935711,20.838425925724636,3050.0644000000016
2.945782569970362,11.067802873550256,10.216550142845378,24.230135586365996,3136.0111000000006
1.7558106081450109,0.03000013006357793,10.400568227959447,12.186378966168036,2918.6119333333318
2.9473505517598855,3.4905792957005537,14.623794042471141,21.06172388993158,3070.712800000002
2.94689265549275,10.960127495997922,14.623815531749395,28.530835683240067,3217.903333333336
0.005016638828636774,0.4107261226523287,0.9505754848506367,1.3663182463316021,1548.1723520376681
1.0749590918129048e-05,0.0300001237166559,10.400938152518323,10.430949025825898,2786.709199999998
0.016308135716420313,0.03000184533987147,1.4961263540228324,1.5424363350791241,1775.309005555554
0.5968239331121157,4.7043166710883915,3.4579293104887707,8.759069914689277,2649.439214285714
2.9457716666165368,0.03000020301062399,10.401321678360716,13.377093547987878,2996.7304666666664
2.9473605054391823,3.840403205570974,14.835610782983382,21.623374493993538,3075.8409666666685
