N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Total_Input,Predicted_Yield_kg_ha,Strategy
2.946544551748959,11.068847376673313,15.70054767086621,29.71593959928848,3239.409333333336,High-Yield
1.8707030763513103e-09,0.0300000014559088,0.01000009232194,0.0400000956485519,1061.490733333334,Sustainable
2.958318363351548,11.148591885312731,13.416224502104214,27.52313475076849,3183.8454333333343,High-Yield
2.9465918369751503,11.067827134575449,10.799085625902157,24.81350459745276,3182.368100000001,High-Yield
0.0050146929240493,0.0300000012464985,1.5982329309513446,1.6332476251218926,1836.7380055555536,Sustainable
9.538405649405336e-10,0.030000000928648,1.455681906868753,1.4856819087512416,1729.9030888888874,Sustainable
0.1379506387266227,0.4107261226523287,0.8960667942833501,1.4447435556623014,1589.519627007143,Sustainable
2.947097074833336,0.0300002603251047,10.786039710889488,13.763137046047929,2997.8824666666665,High-Yield
2.9471378299261857,2.372756309556196,10.400547668150134,15.720441807632517,3011.293133333333,High-Yield
8.036197437931617e-06,0.0300000048144037,1.620214669346382,1.6502227103582237,2002.1187499999987,Sustainable
1.72875413124609,0.0302254884336708,3.823361109261289,5.58234072894105,2471.535465476189,Balanced
2.9468324160941037,4.690838226886889,10.795940701886108,18.433611344867103,3040.1107,High-Yield
2.94515996087413,2.3768468505294704,14.623793368231352,19.94580017963495,3046.883800000001,High-Yield
8.277908971715774e-09,0.0300000008616665,1.7371895198704594,1.767189529010035,2178.631416666666,Sustainable
0.0050151809689882,0.0300033501417771,0.010034841332637,0.0450533724434024,1141.254166666667,Sustainable
0.6411751177518344,0.0300011824209281,3.823361109261289,4.494537409434052,2470.8345154761905,Balanced
2.953254400949106,10.391092636432465,10.410691836521512,23.75503887390308,3121.7716000000005,High-Yield
0.0050218506158764,0.0300033471240662,1.725298314132881,1.7603235118728238,2074.567916666665,Sustainable
0.0158844278963671,0.0700716018036686,0.0153135067203836,0.1012695364204193,1177.5488333333344,Sustainable
0.6072807321532728,0.0402425078307162,2.2887118431509554,2.9362350831349446,2355.1722083333325,Sustainable
0.0058576646477755,0.0300049869032354,0.1661276991364282,0.2019903506874391,1237.9615117715618,Sustainable
0.0005274331478803,0.0300245853806744,9.580364025539838,9.610916044068391,2681.6348,Balanced
6.126843791409738e-05,0.0300000005194455,6.130647040827763,6.1607083097851225,2505.503866666668,Balanced
2.946779135885543,9.296166763744388,10.795940701886108,23.03888660151604,3109.7681,High-Yield
0.2897060278393772,0.1326624571622866,2.182101328339767,2.604469813341431,2322.766875,Sustainable
0.000977938663578,3.5873745610615457,3.2466939785185738,6.835046478243697,2547.437347619047,Balanced
4.8563045515146196e-08,0.0300000077139206,10.210335385572296,10.240335441849265,2749.546199999997,High-Yield
1.7851148432305064,0.0300009894148791,9.575447305154904,11.390563137800289,2812.045366666664,High-Yield
1.7585015400625452,0.0300185577894425,10.2109018636925,11.999421961544488,2877.0929333333315,High-Yield
0.635073303682761,4.746273243884655,3.8476746804848334,9.22902122805225,2657.5572142857145,Balanced
1.4577372199772176e-07,0.0300000000992339,1.9102244902890215,1.9402246361619775,2243.441633333334,Sustainable
0.0006471495407341,3.665234195760057,3.471533519249115,7.137414864549906,2584.812680952381,Balanced
2.953288527967895,3.245277948821028,14.639859448935711,20.83842592572464,3050.0644000000016,High-Yield
2.945782569970362,11.067802873550256,10.216550142845378,24.230135586366,3136.0111000000006,High-Yield
1.7558106081450109,0.0300001300635779,10.400568227959448,12.186378966168036,2918.611933333332,High-Yield
2.947350551759885,3.4905792957005537,14.62379404247114,21.06172388993158,3070.712800000002,High-Yield
2.94689265549275,10.960127495997922,14.623815531749395,28.530835683240067,3217.903333333336,High-Yield
0.0050166388286367,0.4107261226523287,0.9505754848506368,1.366318246331602,1548.172352037668,Sustainable
1.0749590918129048e-05,0.0300001237166559,10.400938152518323,10.430949025825898,2786.709199999998,High-Yield
